nth vaddr      bind type lib          name
36  0x004492b8 NONE FUNC kernel32.dll GetOverlappedResult
37  0x00449158 NONE FUNC kernel32.dll GetModuleHandleA
38  0x0044915c NONE FUNC kernel32.dll GetModuleFileNameA
39  0x00449160 NONE FUNC kernel32.dll GetLocaleInfoA
40  0x00449164 NONE FUNC kernel32.dll GetLastError
41  0x004492cc NONE FUNC kernel32.dll GetExitCodeThread
42  0x004492d0 NONE FUNC kernel32.dll GetDiskFreeSpaceA
43  0x00449104 NONE FUNC kernel32.dll GetCurrentThreadId
44  0x004492d8 NONE FUNC kernel32.dll GetCurrentProcessId
45  0x004492dc NONE FUNC kernel32.dll GetCPInfo
46  0x004492e0 NONE FUNC kernel32.dll FreeResource
47  0x0044916c NONE FUNC kernel32.dll FreeLibrary
48  0x004492e8 NONE FUNC kernel32.dll FormatMessageA
49  0x004492ec NONE FUNC kernel32.dll FindResourceA
50  0x004492f0 NONE FUNC kernel32.dll EnumCalendarInfoA
51  0x00449110 NONE FUNC kernel32.dll EnterCriticalSection
52  0x00449108 NONE FUNC kernel32.dll DeleteCriticalSection
53  0x00449180 NONE FUNC kernel32.dll CreateThread
54  0x004491ac NONE FUNC kernel32.dll CreateFileA
55  0x00449304 NONE FUNC kernel32.dll CreateEventA
56  0x00449308 NONE FUNC kernel32.dll CompareStringA
57  0x004491b0 NONE FUNC kernel32.dll CloseHandle
1   0x00449314 NONE FUNC gdi32.dll    UnrealizeObject
2   0x00449318 NONE FUNC gdi32.dll    StretchBlt
3   0x0044931c NONE FUNC gdi32.dll    SetWindowOrgEx
4   0x00449320 NONE FUNC gdi32.dll    SetViewportOrgEx
5   0x00449324 NONE FUNC gdi32.dll    SetTextColor
6   0x00449328 NONE FUNC gdi32.dll    SetStretchBltMode
7   0x0044932c NONE FUNC gdi32.dll    SetROP2
8   0x00449330 NONE FUNC gdi32.dll    SetPixel
9   0x00449334 NONE FUNC gdi32.dll    SetDIBColorTable
10  0x00449338 NONE FUNC gdi32.dll    SetBrushOrgEx
11  0x0044933c NONE FUNC gdi32.dll    SetBkMode
12  0x00449340 NONE FUNC gdi32.dll    SetBkColor
13  0x00449344 NONE FUNC gdi32.dll    SelectPalette
14  0x00449348 NONE FUNC gdi32.dll    SelectObject
15  0x0044934c NONE FUNC gdi32.dll    SaveDC
16  0x00449350 NONE FUNC gdi32.dll    RestoreDC
17  0x00449354 NONE FUNC gdi32.dll    RectVisible
18  0x00449358 NONE FUNC gdi32.dll    RealizePalette
19  0x0044935c NONE FUNC gdi32.dll    PatBlt
20  0x00449360 NONE FUNC gdi32.dll    MoveToEx
21  0x00449364 NONE FUNC gdi32.dll    MaskBlt
22  0x00449368 NONE FUNC gdi32.dll    LineTo
23  0x0044936c NONE FUNC gdi32.dll    IntersectClipRect
24  0x00449370 NONE FUNC gdi32.dll    GetWindowOrgEx
25  0x00449374 NONE FUNC gdi32.dll    GetTextMetricsA
26  0x00449378 NONE FUNC gdi32.dll    GetTextExtentPoint32A
27  0x0044937c NONE FUNC gdi32.dll    GetSystemPaletteEntries
28  0x00449380 NONE FUNC gdi32.dll    GetStockObject
29  0x00449384 NONE FUNC gdi32.dll    GetPixel
30  0x00449388 NONE FUNC gdi32.dll    GetPaletteEntries
31  0x0044938c NONE FUNC gdi32.dll    GetObjectA
32  0x00449390 NONE FUNC gdi32.dll    GetDeviceCaps
33  0x00449394 NONE FUNC gdi32.dll    GetDIBits
34  0x00449398 NONE FUNC gdi32.dll    GetDIBColorTable
35  0x0044939c NONE FUNC gdi32.dll    GetDCOrgEx
36  0x004493a0 NONE FUNC gdi32.dll    GetCurrentPositionEx
